Model,Transfer,Transfer relative,Cosine,Linf
densenet121,0.21000000000000008,0.22826086956521746,0.5324306488037109,5.24429178237915
densenet161,0.24,0.2608695652173913,0.5015279650688171,5.282088279724121
densenet169,0.20000000000000007,0.21739130434782614,0.523722767829895,5.113286018371582
googlenet,0.17000000000000004,0.18478260869565222,0.5185835361480713,5.491049766540527
inception_v3,0.15000000000000002,0.1630434782608696,0.5574886798858643,5.691824913024902
mobilenet_v2,0.13,0.14130434782608695,0.48183369636535645,4.826828956604004
resnet18,0.15000000000000002,0.1630434782608696,0.5159199237823486,5.7004899978637695
resnet34,0.21000000000000008,0.22826086956521746,0.5177162885665894,6.144304275512695
resnet50,0.20000000000000007,0.21739130434782614,0.4996570944786072,5.912295818328857
vgg11_bn,0.25,0.2717391304347826,0.5240131616592407,5.382882595062256
vgg13_bn,0.16000000000000003,0.1739130434782609,0.5268386006355286,6.3988800048828125
vgg16_bn,0.17000000000000004,0.18478260869565222,0.5370346307754517,6.160009860992432
vgg19_bn,0.13,0.14130434782608695,0.5656133890151978,6.1005144119262695
